Course Number,Course Title,Subject,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,,,,
MATH 422 / BE 440,Risk Management and Insurance,MATH,Risk management,Insurance theory,Probability models,Interest theory,Decision-making in finance,,,,
MATH 423,Mathematics of Finance,MATH,Financial modeling,Derivative pricing,Portfolio theory,Stochastic processes,Black-Scholes analysis,,,,
MATH 424,Mathematical Interest Theory,MATH,Interest theory,Valuation models,Annuities and loans,Bonds and yield rates,Asset-liability matching,,,,
MATH 425 / STATS 425,Introduction to Probability,MATH,Probability theory,Statistical applications,Genetics and economics,Geology and engineering,Probability calculations,,,,
MATH 429,Internship,MATH,Mathematics internship,Experiential learning,Career exploration,Practical training,Academic enrichment,,,,
MATH 433,Introduction to Differential Geometry,MATH,Differential geometry,Calculus on curves and surfaces,Curvature and torsion,Geodesics and minimal surfaces,Gauss-Bonnet theorem,,,,
MATH 440,Lab of Geometry at Michigan,MATH,Mathematics research,Computation and visualization,Research projects,Team-based learning,Geometry applications,,,,
MATH 450,Advanced Mathematics for Engineers I,MATH,Engineering mathematics,Mathematical physics,Advanced calculus,Problem-solving applications,Modeling techniques,,,,
MATH 451,Advanced Calculus I,MATH,Advanced calculus,Real analysis,Theorems and proofs,Abstract mathematics,Continuity and limits,,,,
MATH 452,Advanced Calculus II,MATH,Partial derivatives,Implicit function theorem,Multiple integration,Stokes' theorem,Differential forms,,,,
MATH 454,Boundary Value Problems for Partial Differential Equations,MATH,Fourier series,Boundary value problems,Partial differential equations,Heat and wave equations,Bessel functions,,,,
MATH 462,Mathematical Models,MATH,Mathematical modeling,Dynamical systems,Chaotic dynamics,Population biology,Applications in sciences,,,,
MATH 465,Introduction to Combinatorics,MATH,Combinatorics basics,Counting techniques,Graph theory,Recurrence relations,Combinatorial algorithms,,,,
MATH 466 / CMPLXSYS 466 / EEB 466,Mathematical Ecology,MATH,Ecological modeling,Population dynamics,Stochastic models,Epidemiology,Population interactions,,,,
MATH 471,Introduction to Numerical Methods,MATH,Numerical analysis,Linear equations,Polynomial approximation,Differential equations,Computational methods,,,,
MATH 472,Numerical Methods with Financial Applications,MATH,Financial modeling,Numerical integration,Monte Carlo simulation,Black-Scholes equation,Partial differential equations,,,,
MATH 474,Introduction to Stochastic Analysis for Finance,MATH,Stochastic processes,Quantitative finance,Continuous-time models,Probabilistic techniques,Financial applications,,,,
MATH 475,Elementary Number Theory,MATH,Prime numbers,Divisibility rules,Modular arithmetic,Diophantine equations,Basic theorems in number theory,,,,
MATH 476,Computational Laboratory in Number Theory,MATH,Number theory applications,Computational techniques,Algorithmic number theory,Hands-on problem solving,Mathematical software,,,,
MATH 494,Honors Algebra II,MATH,Ring theory,Field extensions,Algebraic structures,Modules and ideals,Galois theory,,,,
MATH 498,Topics in Modern Mathematics,MATH,Advanced mathematical concepts,Modern applications,Variable topics,Research-level discussions,Capstone for math concentrators,,,,
MATH 501,Applied & Interdisciplinary Mathematics Student Seminar,MATH,Interdisciplinary math,Applied mathematics,Research seminars,Problem-solving discussions,Graduate-level exploration,,,,
MATH 511 / CMPLXSYS 511,Theory of Complex Systems,MATH,Complex systems,Nonlinear dynamics,Chaos theory,Stochastic processes,Evolutionary models,,,,
MATH 521,Life Contingencies II,MATH,Actuarial science,Multi-life contingencies,Insurance applications,Probability models,Financial risk analysis,,,,
MATH 524,Loss Models II,MATH,Financial risk modeling,Casualty insurance,Bayesian estimation,Model selection,Probability distributions,,,,
MATH 525 / STATS 525,Probability Theory,MATH,Probability fundamentals,Random variables,Law of large numbers,Markov chains,Central limit theorem,,,,
MATH 526 / STATS 526,Discrete State Stochastic Processes,MATH,Discrete stochastic processes,Markov chains,Poisson processes,Exponential distribution,Conditional probabilities,,,,
MATH 547 / BIOINF 547 / STATS 547,Mathematics of Data,MATH,Data representation,Dimensionality reduction,Spectral graph theory,Topological data analysis,Dynamical systems in data,,,,
MATH 551,Introduction to Real Analysis,MATH,Lebesgue measure theory,Metric spaces,Topological spaces,Abstract analysis,Foundations of real analysis,,,,
MATH 555,Introduction to Functions of a Complex Variable with Applications,MATH,Complex variables,Conformal mapping,Cauchy theorems,Power series,Applications in engineering,,,,
MATH 557,Applied Asymptotic Analysis,MATH,Asymptotic sequences,Steepest descent method,Singular perturbations,Boundary layer theory,Inverse transforms,,,,
MATH 561 / IOE 510 / TO 518,Linear Programming I,MATH,Linear programming,Simplex algorithm,Duality theory,Sensitivity analysis,Transportation and assignment problems,,,,
MATH 562 / IOE 511,Continuous Optimization Methods,MATH,Continuous optimization,Gradient methods,Penalty transformations,Constrained optimization,Computational techniques,,,,
MATH 566,Combinatorial Theory,MATH,Permutations and combinations,Generating functions,Ramsey's Theorem,Extremal problems,Combinatorial designs,,,,
MATH 567,Introduction to Coding Theory,MATH,Error-correcting codes,Shannon's Theorem,Finite fields,Linear and cyclic codes,Decoding methods,,,,
MATH 571,Numerical Linear Algebra,MATH,Gaussian elimination,Eigenvalue computation,Iterative methods,Cholesky decomposition,Partial differential equations,,,,
MATH 572,Numerical Methods for Differential Equations,MATH,Finite difference methods,A-stability,Stability conditions,Root condition,Lax-Richtmyer theorem,,,,
MATH 574,Financial Mathematics II,MATH,Quantitative finance,Model building,Risk management,Mathematical finance,Financial industry applications,,,,
MATH 575,Introduction to Theory of Numbers I,MATH,Prime numbers,Congruences,Quadratic reciprocity,Diophantine equations,Arithmetic functions,,,,
MATH 582,Introduction to Set Theory,MATH,Set algebra,Relations and functions,Axiom of Choice,Cardinal and ordinal numbers,Well-orderings,,,,
MATH 590,Introduction to Topology,MATH,Metric spaces,Topological spaces,Compactness and connectedness,Quotient and product topology,Algebraic topology basics,,,,
MATH 592,Introduction to Algebraic Topology,MATH,Fundamental group,Simplicial complexes,Graph theory,Homology theory,Fixed-point theorems,,,,
MATH 594,Algebra II,MATH,Group theory,Sylow theorems,Galois theory,Field extensions,Free groups,,,,
MATH 597,Analysis II,MATH,Lebesgue measure,Integration theory,Differentiation theory,Measure spaces,Fourier transforms,,,,
MATSCIE 281 / ANTHRARC 281,Making Things: Three Million Years of Materials and Culture,MATSCIE,Materials discovery,Cultural transformations,Archaeological perspectives,Ceramics and metals,Materials science basics,,,,
MATSCIE 410 / BIOMEDE 410 / MACROMOL 410,Design and Applications of Biomaterials,MATSCIE,Biomaterials in medicine,Material degradation,Host physiological response,Polymers and ceramics,Medical device materials,,,,
MATSCIE 512 / CHE 512 / MACROMOL 512,Polymer Physics,MATSCIE,Polymer structure,Mechanical properties,Thermodynamics of polymers,Polymer dynamics,Applications in engineering,,,,
MATSCIE 514 / MACROMOL 514 / MFG 514,Composite Materials,MATSCIE,Fiber composites,Composite processing,Material behavior,Design principles,Chemical and physical processes,,,,
MCDB 300,Undergraduate Research,MCDB,Independent research,Faculty-guided study,Biology lab requirement,Science GPA requirement,Project continuation option,,,,
MCDB 306,Introductory Genetics Laboratory,MCDB,Genetics techniques,Drosophila model,C. elegans study,Project-based lab,Genetic analysis methods,,,,
MCDB 310,Introductory Biochemistry,MCDB,Biochemical pathways,Cellular context,Metabolic coordination,Chemistry of life,Biology integration,,,,
MCDB 322 / NEURO 322,Principles of Cellular and Molecular Neuroscience,MCDB,Signal generation,Neural communication,Synaptic networks,Neurodevelopment,Conscious perception,,,,
MCDB 400,Advanced Research,MCDB,Advanced independent research,Biology lab requirement,Project continuation option,Faculty supervision,Upper-level biology,,,,
MCDB 401,Advanced Topics in Biology,MCDB,Current biology topics,Specialized study,Upper-level focus,Term-based topics,Research integration,,,,
MCDB 408,Genomic Biology,MCDB,Genomic sequencing,Research methods,Eukaryotic diversity,Gene function analysis,High-throughput techniques,,,,
MCDB 411,Protein Structure and Function,MCDB,Protein sequence analysis,Structural motifs,3D structure,Protein folding,Functional correlation,,,,
MCDB 420 / BIOPHYS 420,Structural Biology: The Architecture of Life,MCDB,Biomolecule structure,Protein folding,Cellular biochemistry,Reaction kinetics,Enzyme function,,,,
MCDB 421 / NEURO 421,Topics in Cellular and Molecular Neurobiology,MCDB,Neurobiology research,Current studies,Faculty-led exploration,Molecular focus,Repeatable credit,,,,
MCDB 422 / NEURO 422,"Brain Development, Plasticity, and Circuits",MCDB,Neurogenesis and axon guidance,Synapse formation,Circuit function analysis,Regeneration mechanisms,Genetically amenable models,,,,
MCDB 423 / NEURO 423,Introduction to Research in Cellular and Molecular Neurobiology,MCDB,Electrophysiology methods,Anatomical techniques,Molecular biology methods,Neurobiology lab skills,Project-based learning,,,,
MCDB 428,Cell Biology,MCDB,Membrane properties,Cellular metabolism,Organelles and biogenesis,Cytoskeleton and motility,Cell cycle regulation,,,,
MCDB 429,Laboratory in Cell and Molecular Biology,MCDB,Microscopy techniques,Organelles isolation,Gel electrophoresis,Plasmid construction,Tissue culture methods,,,,
MCDB 441 / NEURO 441,Cell Biology and Disease,MCDB,Cellular disorders,Human disease focus,Scientific presentations,Molecular biology integration,Pharmacology principles,,,,
MCDB 458 / NEURO 458,Neuroepigenetics,MCDB,Experience and DNA interaction,Epigenetic modifications,Behavioral influence,Diet and pollutants impact,Stress and genome function,,,,
MCDB 494 / EEB 494,Teaching College Science,MCDB,Science pedagogy,Teaching foundations,Practical teaching skills,Effective communication,Science education principles,,,,
MCDB 499 / EEB 499,Responsible Conduct of Research and Scholarship in Biology,MCDB,Research integrity,Academic ethics,Responsible scholarship,Research conduct standards,University guidelines,,,,
MELANG 470 / GREEK 473,Advanced Koine,MELANG,New Testament interpretation,Philological analysis,Textual transmission,Theological issues,Historical context,,,,
MELANG 499,Independent Study in Middle East Languages,MELANG,Independent language study,Middle Eastern languages,Customized curriculum,Department approval required,Repeatable for credit,,,,
MEMS 211 / HISTORY 211,"Later Medieval Europe, 1000-1500",MEMS,Medieval Europe survey,Political and economic developments,Religious and intellectual movements,Western Christendom focus,Medieval thought currents,,,,
MEMS 309 / RCHUMS 309,The Middle Ages and the Modern World,MEMS,Premodern cultural roots,Ancient and medieval connections,Multi-artform approach,Contemporary culture influences,Topic-focused each term,,,,
MEMS 333 / ITALIAN 333,Dante's Divine Comedy,MEMS,Dante's Divine Comedy,Medieval culture and history,Encounter with classical past,Bilingual text editions,"Study of Inferno, Purgatorio, Paradiso",,,,
MEMS 348 / HISTART 348,The Medieval Book,MEMS,Illuminated manuscripts,History of manuscript production,Medieval art forms,Codex invention to print,Iconic manuscripts,,,,
MEMS 350 / ENGLISH 350,Literature in English to 1660,MEMS,English literature survey,Pre-1660 literary works,Literary tradition development,Early English texts,Foundational English literature,,,,
MEMS 360,Special Topics in Medieval and Early Modern Studies,MEMS,Medieval/Early Modern topics,Interdisciplinary approach,Repeatable course credit,Focused historical themes,Variable special topics,,,,
MEMS 367 / ENGLISH 367,Shakespeare's Principal Plays,MEMS,Shakespeare's major plays,Critical play analysis,Playwright's themes and art,Historical context exploration,Classic English drama,,,,
MEMS 442 / HISTORY 447 / SCAND 442,"The Icelandic Sagas: Vikings, Women, and Vengeance",MEMS,Icelandic sagas study,Viking age culture,Vengeance and feuds,Medieval Icelandic society,Gender and conversion themes,,,,
MEMS 490,Directed Reading,MEMS,Independent study,Customized reading plan,Instructor approval required,Medieval/Early Modern focus,Repeatable for credit,,,,
MENAS 308 / INTLSTD 308 / MIDEAST 308,Conflict and Comics: Reframing the Middle East,MENAS,Comics as journalism,Middle East politics,Autobiographical genre,War and revolution themes,Analysis of graphic narratives,,,,
MENAS 462 / EDUC 462,Web Based Mentorship: Learning Through Character Play,MENAS,Web-based mentorship,Historical character role-play,High school mentorship,Experiential learning,Reflective writing practice,,,,
MENAS 463 / EDUC 463,Web Based Mentorship: Arab-Israeli Conflict Simulation,MENAS,Arab-Israeli conflict simulation,Diplomacy and negotiation,High school mentorship,Contemporary Middle East politics,Reflective writing and teamwork,,,,
MFG 466 / IOE 466,Statistical Quality Control,MFG,Quality improvement techniques,Statistical process control,Control charts and sampling,Multivariate quality control,Process capability analysis,,,,
MFG 514 / MACROMOL 514 / MATSCIE 514,Composite Materials,MFG,Composite material behavior,Fiber composites design,Chemical and physical processes,Material processing techniques,Future technology in composites,,,,
MFG 567 / EECS 567 / MECHENG 567 / ROB 510,Robotic Kinematics and Dynamics,MFG,Robot kinematics and dynamics,Rigid body spatial motion,Differential kinematics,Robot motion planning,Obstacle avoidance,,,,
MICRBIOL 399,Independent Research for Undergraduates,MICRBIOL,Undergraduate microbiology research,Faculty-led laboratory work,Hands-on lab experience,Microbiological techniques,Principal investigator mentorship,,,,
MICRBIOL 405,Medical Microbiology and Infectious Diseases,MICRBIOL,Medical microbiology fundamentals,Pathogenic virology and bacteriology,Medical immunology,Host-pathogen interactions,Infectious disease mechanisms,,,,
MICRBIOL 409 / INTMED 409,Investigational and Experimental Bacteriology,MICRBIOL,Microbial ecology and genomics,Pathogenesis and epidemiology,Active learning approach,Data analysis and problem-solving,Primary literature review,,,,
MICRBIOL 440,Human Immunology,MICRBIOL,Human immune system overview,Immunological principles,Cellular and molecular immunology,Immune responses and regulation,Immunopathology and disease,,,,
MIDEAST 203,Sports and Games in the Middle East,MIDEAST,History of Middle Eastern sports,Entertainment and warfare,Gender and sports in society,Religious and cultural impact,Social and diplomatic implications,,,,
MIDEAST 207 / RELIGION 277,The Land of Israel/Palestine through the Ages,MIDEAST,History of Israel/Palestine,Political and economic influences,Cultural and social development,Empires and local populations,Religious and ethnic diversity,,,,
MIDEAST 236 / RELIGION 236,Introduction to the New Testament,MIDEAST,Modern New Testament studies,Interpretation of scripture,Biblical history and context,Religious impact and influence,Textual analysis of the Bible,,,,
MIDEAST 281 / JUDAIC 281 / SLAVIC 281,"Jews in the Modern World: Texts, Images, Ideas",MIDEAST,Jewish response to modernity,Cultural and social adaptation,Political and economic challenges,Jewish art and literature,Transformation in Jewish identity,,,,
MIDEAST 290,Topics in Middle East Studies,MIDEAST,Varied topics in Middle East studies,Film and literature in focus,Popular culture and society,Historical and cultural analysis,Specialized temporary course topics,,,,
MIDEAST 292,Mini-course in Middle East Studies,MIDEAST,Short topics in Middle East studies,Literature and visual culture,Religious and linguistic diversity,Cultural and social exploration,Special mini-course format,,,,
MIDEAST 295,First Year Seminar in Middle East Studies,MIDEAST,Introductory Middle East studies,First-year student focus,Explorative seminar on topics,Visiting and permanent faculty,Cultural and social perspectives,,,,
MIDEAST 305,"Demons, Jinn, Curses, and Ghosts: Global Horror and the Supernatural",MIDEAST,Global horror and religion,Supernatural in film and TV,Scary movie tropes,Religious themes in horror,Cultural views on the supernatural,,,,
MIDEAST 308 / INTLSTD 308 / MENAS 308,Conflict and Comics: Reframing the Middle East,MIDEAST,Middle East in comics,Autobiographical narratives,Politics and war in art,Media representation of conflict,Social issues through comics,,,,
MIDEAST 315 / ISLAM 315,Introduction to Arab Culture,MIDEAST,Overview of Arab culture,Cultural and ethnic diversity,Religious and political landscape,Historical influences,Social and cultural practices,,,,
MIDEAST 320 / HISTORY 307 / ISLAM 320,"History of the Ottoman Empire: The ""Post-Classical Age""",MIDEAST,Ottoman Empire history,Post-classical period (1600-1922),Decline of empire under Suleyman,Historical and political analysis,Empire’s collapse and transformation,,,,
MIDEAST 322 / RELIGION 363,The Qur'an and Its Interpretations,MIDEAST,History of the Qur'an,Islamic interpretations and contexts,Religious and cultural impacts,Qur'anic influence on art and politics,Jurisprudence and ethical codes,,,,
MIDEAST 323 / ISLAM 323,The Prophet Muhammad in Islam,MIDEAST,Life of Prophet Muhammad,Islamic historiography,Veneration in Islamic tradition,Western and Muslim interpretations,Role of Muhammad in history,,,,
MIDEAST 331 / FTVM 321,Iranian Cinema: Re/Presenting a Nation,MIDEAST,History of Iranian cinema,Film genres and trends,Influential Iranian filmmakers,Film as cultural and political expression,Representation of national identity,,,,
MIDEAST 334 / ENGLISH 337 / JUDAIC 334 / RELIGION 334,The Bible as a Material Object,MIDEAST,Bible as a physical object,History of biblical texts,Ancient scrolls and codices,Printing press and Bible production,Contemporary uses in arts and media,,,,
MIDEAST 336 / HISTORY 308 / RELIGION 350,The Earliest Christians,MIDEAST,Church Fathers writings,History of early Christianity,Unity of God and inspiration of scripture,Role of the church in society,Christian theological debates,,,,
MIDEAST 338 / ANTHRARC 381 / HISTART 382,Introduction to Egyptian Archaeology,MIDEAST,Egyptian and Nubian archaeology,Material culture and sites,Sacred and secular landscapes,Archaeological methods and analysis,Historical context of ancient Egypt,,,,
MIDEAST 341 / RCIDIV 341 / STS 342,Science and Technology in the Ancient Middle East,MIDEAST,Ancient Middle Eastern science and technology,Writing systems and tools,"Agriculture, weaponry, and mathematics",Medicine and astronomy,Technological impact on society,,,,
MIDEAST 390,Topics in Middle East Studies,MIDEAST,Special topics in Middle East Studies,Advanced undergraduate study,"Film, literature, and history",Popular culture and religion,Temporary and faculty-led course topics,,,,
MIDEAST 392,Mini-course in Middle East Studies,MIDEAST,Mini-courses in Middle East Studies,Focused course topics,"Literature, history, religion, and culture",Short-term and specialized learning,Varied interdisciplinary approaches,,,,
MIDEAST 450 / INTLSTD 450 / WGS 450,Transnational Feminisms,MIDEAST,Transnational feminism studies,Women of color and postcolonial feminism,History of feminist movements,Contemporary issues in feminism,Activism and scholarship from the global South,,,,
MIDEAST 480 / ANTHRCUL 430 / HISTORY 430,"History, Memory, and Silence in the Middle East",MIDEAST,History and memory in the Middle East,Anthropology of silence,Post-Ottoman violence and destruction,Genocide and refugee experiences,Role of historians and ethnographies in representation,,,,
MIDEAST 490,Topics in Middle East Studies,MIDEAST,Upper-level Middle East Studies,"Film, literature, and history",Popular culture and religion,Graduate and advanced undergraduate course,Temporary faculty-led course,,,,
MIDEAST 498,Senior Honors Thesis,MIDEAST,Independent research and thesis,Middle East Studies honors,Original research and writing,Faculty mentorship and approval,Honors thesis completion,,,,
MIDEAST 499,Independent Study in Middle East Studies,MIDEAST,Independent study in Middle East Studies,Department approval required,Personalized research projects,Faculty guidance and mentorship,English language instruction,,,,
MIDEAST 517,Classical Persian Texts,MIDEAST,Classical Persian literature,Prose and poetry survey,Authors and textual history,Persian language and culture,Deep dive into classical works,,,,
MIDEAST 520,Readings in Classical Islamic Texts,MIDEAST,Classical Islamic texts,Philosophical and theological readings,Historical and geographical writings,Advanced Arabic readings,Theological and philosophical analysis,,,,
MILSCI 102,Introduction to Leadership,MILSCI,Introductory leadership course,Non-LSA degree credit,Basic leadership skills,Personal and professional development,Leadership foundations,,,,
MILSCI 202 / UC 204,Leadership in Changing Environments,MILSCI,Leadership in complex environments,Cross-cultural challenges,Practical Army leadership tasks,Adapting to change,Applied leadership,,,,
MILSCI 302 / UC 302,Leading Small Organizations II,MILSCI,Organizational leadership,Small group dynamics,Behavioral analysis,Leadership techniques and planning,Advanced leadership skills,,,,
MILSCI 402 / UC 402,Military Professionalism and Professional Ethics,MILSCI,Military ethics and professionalism,Leadership and management,"History, politics, and law",Complex organizational leadership,Officer preparation and training,,,,
MILSCI 499,Independent Study-Directed Readings,MILSCI,Independent research in military leadership,Directed readings,Faculty mentorship and approval,Custom academic study,Not for LSA credit,,,,
MUSEUMS 401,Contemporary Issues in Museums,MUSEUMS,Contemporary museum issues,Objects and collections,Museums as institutions,Social role of museums,Thematic course content,,,,
MUSEUMS 409,Practicum in Museums,MUSEUMS,Experiential learning,Museum practice and theory,Hands-on museum work,Reflective practice,Museum studies minor requirement,,,,
MUSEUMS 498,Special Topics in Museum Studies,MUSEUMS,Special topics in museum studies,Faculty-led research themes,Advanced museum-related subjects,Interdisciplinary topics,Custom course content,,,,
MUSICOL 122,Intro World Music,MUSICOL,World music cultures,Global music traditions,Cultural music exploration,"Caribbean, West African, Indian, Chinese, and Japanese music",Non-music majors,,,,
MUSICOL 123,Introduction to Popular Music,MUSICOL,20th-century popular music,Genre and artist survey,Popular music history,Analytical listening and writing,Cultural and social context,,,,
MUSICOL 130,Opera!,MUSICOL,Opera introduction,Vocal music appreciation,Theatrical performance in opera,No music literacy required,Opera analysis,,,,
MUSICOL 140,History of US Musics,MUSICOL,U.S. music history,American music traditions,Cultural impact of U.S. music,Genre development in U.S.,Restricted to music students,,,,
MUSICOL 240,History of Western Music,MUSICOL,Western classical music history,European music traditions,Genre evolution in Western music,Impact of music on Western culture,Restricted to music students,,,,
MUSICOL 346,History of Music,MUSICOL,Global music history,Musical traditions worldwide,Genre development and cultural influence,Humanities focus,Non-music majors,,,,
MUSICOL 405,Special Course,MUSICOL,Specialized music topics,Undergraduate-level courses,Advanced music studies,Custom course content,Repeatable for credit,,,,
MUSICOL 406,Special Course,MUSICOL,Specialized graduate music topics,Advanced music studies,Graduate-level focus,Custom course content,Repeatable for credit,,,,
MUSICOL 407,Special Course,MUSICOL,Undergraduate-level music topics,Customized music curriculum,Advanced music projects,Repeatable for credit,Graduate equivalent courses,,,,
MUSICOL 413,Topics in the Early History of Opera,MUSICOL,Early opera history,18th-century opera studies,"Opera as music, theater, and culture",Focus on staging practices and eroticism,Undergraduate and graduate course,,,,
MUSICOL 464 / AAS 464,Music of Latin America and the Caribbean,MUSICOL,Latin American music studies,Caribbean music traditions,Interdisciplinary course with African American Studies,Genre and cultural studies,Graduate-level option,,,,
MUSICOL 467,"Music of the Middle East, India, and Southeast Asia",MUSICOL,"Middle Eastern, Indian, and Southeast Asian music",World music traditions,Regional music genres and practices,Impact of music on culture,Graduate-level option,,,,
MUSICOL 481,Special Projects,MUSICOL,Independent music projects,Custom research and exploration,Instructor consent required,Undergraduate-specific project focus,Repeatable for credit,,,,
MUSMETH 499,Independent Research,MUSMETH,Independent research,Natural history museum studies,Exhibit preparation and education,Research under faculty supervision,Repeatable for credit,,,,
MUSTHTRE 134,Intro Mus Thtre I I,MUSTHTRE,Introductory course,Musical theatre basics,Freshman musical theatre majors,Performance foundations,Not repeatable for credit,,,,
MUSTHTRE 442,Hist Musical Theatr,MUSTHTRE,Musical theatre history,Historical perspectives,Instructor consent required,In-depth analysis,Not repeatable for credit,,,,
NATIVEAM 103,First Year Seminar in Native American Studies,NATIVEAM,Introduction to Native American Studies,First-year students,Humanities perspective,Seminar format,Not repeatable for credit,,,,
NATIVEAM 223 / AMCULT 223,Elementary Ojibwe II,NATIVEAM,Elementary Ojibwe language,Prerequisite: Ojibwe I,Language development,Grammar and vocabulary,Not repeatable for credit,,,,
NATIVEAM 323 / AMCULT 323,Intermediate Ojibwe II,NATIVEAM,Intermediate Ojibwe language,Advanced language skills,Prerequisite: Intermediate Ojibwe I,Language requirement,Not repeatable for credit,,,,
NATIVEAM 338 / AMCULT 338 / HISTORY 338,Topics in Native American History,NATIVEAM,Native American history,1890 to present,Society and culture,Humanities focus,Not repeatable for credit,,,,
NATIVEAM 388,Field Study,NATIVEAM,Field study experience,Instructor consent required,Experiential learning,Internship opportunities,Credit/no credit grading,,,,
NATIVEAM 389,Reading Course in Native American Studies,NATIVEAM,Independent study,Instructor consent required,Directed readings,Exploration of new topics,Limited credits toward major,,,,
NATIVEAM 405,Topics in Native American Studies,NATIVEAM,Special topics,Interdisciplinary approach,Repeatable for credit,Focus on specific issues,Variable credits,,,,
NATIVEAM 498,Capstone Seminar in Native American Studies,NATIVEAM,Capstone seminar,Advanced study,Interdisciplinary analysis,Repeatable for credit,Preparation for graduation,,,,
NAVSCI 102 / UC 101,Seapower and Maritime Affairs,NAVSCI,History of sea power,U.S. Navy focus,Naval foreign policy,Domestic and economic impacts,Rise of U.S. maritime power,,,,
NAVSCI 202 / EECS 250,Electronic Sensing Systems,NAVSCI,Electromagnetic energy,Naval communications,SONAR and radar,Tracking and guidance,Computer-controlled systems,,,,
NAVSCI 301 / ASTRO 261,Navigation,NAVSCI,Marine navigation,Celestial navigation,Coastal and open sea piloting,Use of sextant,Electronic navigation methods,,,,
NAVSCI 302,Seamanship and Naval Operations,NAVSCI,Nautical rules,Relative motion analysis,Ship handling tactics,Naval operations,Communication at sea,,,,
NAVSCI 402 / UC 403,Leadership and Ethics,NAVSCI,Leadership decision-making,Ethical frameworks,Case study analysis,Combat and non-combat settings,Capstone leadership course,,,,
NAVSCI 410 / UC 410,Evolution of Warfare,NAVSCI,Military history,War-fighting doctrine,Amphibious warfare,Historical case studies,Advanced analysis and writing,,,,
NERS 572 / APPPHYS 672,Plasma and Controlled Fusion II,NERS,Plasma physics,Controlled fusion,Fusion reactor design,Advanced plasma dynamics,Magnetic confinement,,,,
NEURO 230 / PSYCH 230,Introduction to Behavioral Neuroscience,NEURO,Behavioral neuroscience,Brain-behavior relationships,Evolution of psychological processes,Physiological psychology,Neural encoding,,,,
NEURO 240 / PSYCH 240,Introduction to Cognitive Psychology,NEURO,Cognitive psychology,Perception and memory,Language and reasoning,Problem-solving and decision-making,Historical and interdisciplinary perspectives,,,,
NEURO 322 / MCDB 322,Principles of Cellular and Molecular Neuroscience,NEURO,Cellular neuroscience,Signal generation and transmission,Neuronal communication,Development of nervous systems,Synaptic networks and perception,,,,
NEURO 337 / PSYCH 337,Hormones and Behavior,NEURO,Hormonal influences on behavior,Sexual and parental behavior,Dominance and aggression,Stress and immune response,Biological rhythms and endocrine disruptors,,,,
NEURO 340 / PSYCH 340,Topics in Cognition and Cognitive Neuroscience,NEURO,Cognition and cognitive neuroscience,Current research topics,Special interest areas,Neuroscience research trends,Flexible topics by term,,,,
NEURO 360,Undergraduate Neurobiology Research,NEURO,Independent research experience,Experiment design and analysis,Mentor-guided study,Scientific literature exposure,Hands-on neurobiology research,,,,
NEURO 422 / MCDB 422,"Brain Development, Plasticity, and Circuits",NEURO,Neurodevelopment and plasticity,Neural circuit function,Regeneration in nervous system,Genetic and molecular approaches,Axon guidance and synapse formation,,,,
NEURO 423 / MCDB 423,Introduction to Research in Cellular and Molecular Neurobiology,NEURO,Cellular neurobiology research,Electrophysiological methods,Anatomical and molecular techniques,State-of-the-art research tools,Intro to neurobiological methods,,,,
NEURO 439 / PSYCH 439,The Developing Brain,NEURO,Brain development stages,Central nervous system origins,Environmental impact on brain,Behavioral pattern influences,Role of early experiences,,,,
NEURO 440 / PSYCH 440,Advanced Topics in Cognitive Neuroscience,NEURO,Seminar on cognitive neuroscience,Special research topics,Current trends in neuroscience,Advanced cognitive study,Faculty-student discussion,,,,
NEURO 441 / MCDB 441,Cell Biology and Disease,NEURO,Cellular disorders in disease,Molecular cell biology,Pharmacology and genetics focus,Interactive discussions and readings,Human disease case studies,,,,
NEURO 442 / PSYCH 442,The Neuroscience of Perception,NEURO,Sensory perception mechanisms,Neuroscience of illusions,Brain damage and perception,Sensory receptors to systems-level,Unique perceptual experiences,,,,
NEURO 454 / PSYCH 454,Developmental Cognitive Neuroscience,NEURO,Child learning and cognition,Educational neuroscience focus,Speech and reading development,Classroom behavior and attention,Peer interaction studies,,,,
NEURO 458 / MCDB 458,Neuroepigenetics,NEURO,DNA modifications and behavior,Life experiences' genetic impact,Epigenetics and brain function,Diet and stress influences,Experience-driven genome changes,,,,
NEURO 460,Advanced Undergraduate Neurobiology Research,NEURO,Independent research project,Experiment design and analysis,Scientific literature exposure,Mentor-guided study,Advanced neurobiology research,,,,
NEURO 461,Neuroscience Senior Thesis,NEURO,Senior thesis research,Independent study structure,Honors and non-honors thesis,Credit for thesis work,Faculty mentorship,,,,
NEURO 470 / NEUROSCI 470,Human Neuroanatomy,NEURO,Human nervous system anatomy,Brain regions and functions,Sensory and motor processing,Neuroanatomy and behavior,Neurologic disorders study,,,,
NEUROSCI 470 / NEURO 470,Human Neuroanatomy,NEUROSCI,Human nervous system anatomy,Brain regions and functions,Sensory and motor processing,Neuroanatomy and behavior,Neurologic disorders study,,,,
NURS 220 / STS 220 / WGS 220,Perspectives in Women's Health,NURS,Feminist health perspectives,Women's health definitions,Health concerns for women,Impact of societal factors,Intersectional health analysis,,,,
ORGSTUDY 195,Special Topics in Organizational Studies,ORGSTUDY,Organizational studies topics,Interdisciplinary approach,Seminar format,Lower-level courses,Faculty-led themes,,,,
